id_salario,id_funcionario,mes_referencia,salario
131,11,2024-11,5441.72
132,11,2024-12,5260.99
133,12,2024-01,8980.09
134,12,2024-02,9063.76
135,12,2024-03,8589.44
136,12,2024-04,9202.54
137,12,2024-05,8717.67
138,12,2024-06,9335.5
139,12,2024-07,8713.39
140,12,2024-08,8700.42
141,12,2024-09,8562.03
142,12,2024-10,8953.04
143,12,2024-11,9036.33
144,12,2024-12,8588.21
145,13,2024-01,7393.99
146,13,2024-02,7446.81
147,13,2024-03,7384.69
148,13,2024-04,7354.97
149,13,2024-05,7473.0
150,13,2024-06,7172.58
151,13,2024-07,7192.41
152,13,2024-08,7697.45
153,13,2024-09,7760.1
154,13,2024-10,7334.58
155,13,2024-11,7258.39
156,13,2024-12,7535.67
157,14,2024-01,4630.42
158,14,2024-02,4693.99
159,14,2024-03,4966.13
160,14,2024-04,4938.39
161,14,2024-05,4631.25
162,14,2024-06,4725.99
163,14,2024-07,4730.41
164,14,2024-08,4944.7
165,14,2024-09,4627.66
166,14,2024-10,4668.69
167,14,2024-11,5006.93
168,14,2024-12,4704.88
169,15,2024-01,6397.23
170,15,2024-02,6306.09
171,15,2024-03,6400.51
172,15,2024-04,6715.23
173,15,2024-05,6802.89
174,15,2024-06,6786.15
175,15,2024-07,6501.68
176,15,2024-08,6679.64
177,15,2024-09,6375.42
178,15,2024-10,6433.34
179,15,2024-11,6829.58
180,15,2024-12,6249.3
181,16,2024-01,2522.65
182,16,2024-02,2475.53
183,16,2024-03,2515.78
184,16,2024-04,2620.14
185,16,2024-05,2578.14
186,16,2024-06,2700.6
187,16,2024-07,2681.05
188,16,2024-08,2557.46
189,16,2024-09,2536.04
190,16,2024-10,2567.3
191,16,2024-11,2622.02
192,16,2024-12,2538.29
193,17,2024-01,6311.35
194,17,2024-02,6402.19
195,17,2024-03,6328.36
196,17,2024-04,6238.14
197,17,2024-05,6654.66
198,17,2024-06,6536.93
199,17,2024-07,6139.83
200,17,2024-08,6603.72
201,17,2024-09,6361.04
202,17,2024-10,6620.33
203,17,2024-11,6560.02
204,17,2024-12,6321.41
205,18,2024-01,2107.38
206,18,2024-02,2166.27
207,18,2024-03,2186.08
208,18,2024-04,2105.05
209,18,2024-05,2079.48
210,18,2024-06,2229.54
211,18,2024-07,2261.78
212,18,2024-08,2162.83
213,18,2024-09,2086.46
214,18,2024-10,2108.17
215,18,2024-11,2053.39
216,18,2024-12,2246.66
217,19,2024-01,2845.87
218,19,2024-02,2760.44
219,19,2024-03,2839.56
220,19,2024-04,2867.02
221,19,2024-05,2917.39
222,19,2024-06,2741.34
223,19,2024-07,2686.15
224,19,2024-08,2721.7
225,19,2024-09,2937.23
226,19,2024-10,2929.85
227,19,2024-11,2851.77
228,19,2024-12,2852.65
229,20,2024-01,6439.21
230,20,2024-02,6931.06
231,20,2024-03,6601.2
232,20,2024-04,6577.48
233,20,2024-05,6667.85
234,20,2024-06,6353.75
235,20,2024-07,6433.16
236,20,2024-08,6813.67
237,20,2024-09,6377.6
238,20,2024-10,6723.91
239,20,2024-11,6485.78
240,20,2024-12,6581.58
241,21,2024-01,3962.82
242,21,2024-02,4108.93
243,21,2024-03,3939.28
244,21,2024-04,4047.56
245,21,2024-05,4011.23
246,21,2024-06,4086.67
247,21,2024-07,4196.5
248,21,2024-08,4114.37
249,21,2024-09,3906.24
250,21,2024-10,3832.35
251,21,2024-11,3925.27
252,21,2024-12,4059.09
253,22,2024-01,2359.12
254,22,2024-02,2382.84
255,22,2024-03,2320.86
256,22,2024-04,2423.92
257,22,2024-05,2267.14
258,22,2024-06,2259.71
259,22,2024-07,2413.83
260,22,2024-08,2358.92
261,22,2024-09,2404.44
262,22,2024-10,2344.6
263,22,2024-11,2300.13
264,22,2024-12,2435.29
265,23,2024-01,7743.8
266,23,2024-02,7422.83
267,23,2024-03,7664.45
268,23,2024-04,7490.31
269,23,2024-05,7285.68
270,23,2024-06,7912.9
271,23,2024-07,7320.04
272,23,2024-08,7937.91
273,23,2024-09,7554.9
274,23,2024-10,7356.74
275,23,2024-11,7627.74
276,23,2024-12,7879.2
277,24,2024-01,7344.02
278,24,2024-02,7238.72
279,24,2024-03,7262.58
280,24,2024-04,7374.4
281,24,2024-05,6947.2
282,24,2024-06,7118.04
283,24,2024-07,6926.92
284,24,2024-08,7473.07
285,24,2024-09,7441.99
286,24,2024-10,6797.39
287,24,2024-11,7272.06
288,24,2024-12,7428.59
289,25,2024-01,3286.2
290,25,2024-02,3399.64
291,25,2024-03,3111.91
292,25,2024-04,3328.47
293,25,2024-05,3197.88
294,25,2024-06,3402.55
295,25,2024-07,3417.78
296,25,2024-08,3409.04
297,25,2024-09,3255.61
298,25,2024-10,3382.2
299,25,2024-11,3376.49
300,25,2024-12,3204.98
301,26,2024-01,7441.16
302,26,2024-02,7877.52
303,26,2024-03,7591.75
304,26,2024-04,7506.36
305,26,2024-05,7472.33
306,26,2024-06,7955.56
307,26,2024-07,7677.47
308,26,2024-08,7977.78
309,26,2024-09,7463.28
310,26,2024-10,7658.29
311,26,2024-11,7833.22
312,26,2024-12,8029.24
313,27,2024-01,4284.54
314,27,2024-02,4394.59
315,27,2024-03,4280.29
316,27,2024-04,4118.28
317,27,2024-05,4030.03
318,27,2024-06,4387.87
319,27,2024-07,4028.7
320,27,2024-08,4389.81
321,27,2024-09,4243.51
322,27,2024-10,4417.05
323,27,2024-11,4357.69
324,27,2024-12,4441.96
325,28,2024-01,4574.01
326,28,2024-02,4411.29
327,28,2024-03,4446.02
328,28,2024-04,4511.79
329,28,2024-05,4621.46
330,28,2024-06,4670.64
331,28,2024-07,4574.5
332,28,2024-08,4418.35
333,28,2024-09,4419.95
334,28,2024-10,4560.83
335,28,2024-11,4338.61
336,28,2024-12,4281.45
337,29,2024-01,4386.99
338,29,2024-02,4391.05
339,29,2024-03,4362.95
340,29,2024-04,4277.11
341,29,2024-05,4266.25
342,29,2024-06,4700.97
343,29,2024-07,4449.98
344,29,2024-08,4430.51
345,29,2024-09,4562.88
346,29,2024-10,4356.07
347,29,2024-11,4684.04
348,29,2024-12,4610.71
349,30,2024-01,2604.23
350,30,2024-02,2725.43
351,30,2024-03,2742.66
352,30,2024-04,2617.32
353,30,2024-05,2655.66
354,30,2024-06,2538.44
355,30,2024-07,2754.85
356,30,2024-08,2555.42
357,30,2024-09,2742.13
358,30,2024-10,2665.17
359,30,2024-11,2654.17
360,30,2024-12,2629.21
